#,formula,activity,Syngony,"length, nm","width, nm","depth, nm",surface,pol,surf,"Mw(coat), g/mol","Km, mM","Vmax, mM/s",ReactionType,"C min, mM","C max, mM","C(const), mM",Ccat(mg/mL),ph,"temp, °C",Zpotential,"SurfaceArea, m^2/g ",link,,,,,
1,CoFe2O4,peroxidase,7,4.1,4.1,4.1,naked,oleic acid,0,282.47,0.0065,1.376300000,TMB + H2O2,0.0010,1.5000,100.000,0.0000262,4,37,,,https://doi.org/10.1039/C4RA15675G,,,,,
2,CoFe2O4,peroxidase,7,13.8,13.8,13.8,naked,oleic acid,0,282.47,0.0554,0.264300000,TMB + H2O2,0.0010,1.5000,100.000,0.0000262,4,37,,,https://doi.org/10.1039/C4RA15675G,,,,,
3,CoFe2O4,peroxidase,7,4.1,4.1,4.1,naked,oleic acid,0,282.47,0.0355,8.363000000,H2O2 + TMB,0.5000,25.0000,100.000,0.0000262,4,37,,,https://doi.org/10.1039/C4RA15675G,,,,,
4,CoFe2O4,peroxidase,7,13.8,13.8,13.8,naked,oleic acid,0,282.47,0.2277,0.438200000,H2O2 + TMB,0.5000,25.0000,100.000,0.0000262,4,37,,,https://doi.org/10.1039/C4RA15675G,,,,,
5,CoFe2O4,peroxidase,7,24.5,24.5,24.5,naked,oleic acid,0,282.47,0.0173,1.027200000,TMB + H2O2,0.2000,100.0000,15.000,0.0000262,4,37,,,https://doi.org/10.1039/C4RA15675G,,,,,
6,CoFe2O4,peroxidase,7,32.1,32.1,32.1,naked,oleic acid,0,282.47,0.0243,0.675300000,TMB + H2O2,0.2000,100.0000,15.000,0.0000262,4,37,,,https://doi.org/10.1039/C4RA15675G,,,,,
7,CoFe2O4,peroxidase,7,45.2,45.2,45.2,naked,oleic acid,0,282.47,0.0348,0.646800000,TMB + H2O2,0.2000,100.0000,15.000,0.0000262,4,37,,,https://doi.org/10.1039/C4RA15675G,,,,,
8,CoFe2O4,peroxidase,7,24.5,24.5,24.5,naked,oleic acid,0,282.47,0.0393,1.281300000,H2O2 + TMB,0.5000,25.0000,100.000,0.0000262,4,37,,,https://doi.org/10.1039/C4RA15675G,,,,,
9,CoFe2O4,peroxidase,7,32.1,32.1,32.1,naked,oleic acid,0,282.47,0.0661,0.920300000,H2O2 + TMB,0.5000,25.0000,100.000,0.0000262,4,37,,,https://doi.org/10.1039/C4RA15675G,,,,,
10,CoFe2O4,peroxidase,7,45.2,45.2,45.2,naked,oleic acid,0,282.47,0.1107,1.042200000,H2O2 + TMB,0.5000,25.0000,100.000,0.0000262,4,37,,,https://doi.org/10.1039/C4RA15675G,,,,,
11,CoFe2O4,peroxidase,7,14,14,14,naked,0,0,0.00,0.0752,0.000255451,H2O2 + TMB,0.0010,100.0000,15.000,0.0080000,6,25,,,https://doi.org/10.1039/C1CC14300J,,,,,
12,MnFe2O4,peroxidase,7,4,4,4,naked,oleic acid,0,282.47,0.0015,6.980000000,TMB + H2O2,0.0010,1.1100,10.000,0.0005000,3.5,37,,,https://doi.org/10.1039/C5DT01585E,,,,,
13,MnFe2O4,peroxidase,7,16,16,16,naked,oleic acid,0,282.47,0.0964,0.353000000,TMB + H2O2,0.0010,1.1100,10.000,0.0005000,3.5,37,,,https://doi.org/10.1039/C5DT01585E,,,,,
14,MnFe2O4,peroxidase,7,18,18,18,naked,oleic acid,0,282.47,0.0258,1.550000000,TMB + H2O2,0.0010,1.1100,10.000,0.0005000,3.5,37,,,https://doi.org/10.1039/C5DT01585E,,,,,
15,MnFe2O4,peroxidase,7,27,27,27,naked,oleic acid,0,282.47,0.0330,0.730000000,TMB + H2O2,0.0010,1.1100,10.000,0.0005000,3.5,37,,,https://doi.org/10.1039/C5DT01585E,,,,,
16,MnFe2O4,peroxidase,7,4,4,4,naked,oleic acid,0,282.47,0.1120,7.150000000,H2O2 + TMB,0.0010,24.0000,1.500,0.0005000,3.5,37,,,https://doi.org/10.1039/C5DT01585E,,,,,
17,MnFe2O4,peroxidase,7,16,16,16,naked,oleic acid,0,282.47,0.5430,0.515000000,H2O2 + TMB,0.0010,24.0000,1.500,0.0005000,3.5,37,,,https://doi.org/10.1039/C5DT01585E,,,,,
18,MnFe2O4,peroxidase,7,18,18,18,naked,oleic acid,0,282.47,0.2420,4.940000000,H2O2 + TMB,0.0010,24.0000,1.500,0.0005000,3.5,37,,33.8,https://doi.org/10.1039/C5DT01585E,,,,,
19,MnFe2O4,peroxidase,7,27,27,27,naked,oleic acid,0,282.47,0.3040,1.760000000,H2O2 + TMB,0.0010,24.0000,1.500,0.0005000,3.5,37,,33.8,https://doi.org/10.1039/C5DT01585E,,,,,
20,MnFe2O4,peroxidase,7,6,6,6,naked,0,citric acid,192.12,0.6050,0.000053800,TMB + H2O2,0.0010,0.8000,0.000,0.0400000,3.5,25,,,https://doi.org/10.1016/j.colsurfa.2011.08.008,,,,,
21,MnFe2O4,peroxidase,7,6,6,6,naked,0,citric acid,192.12,0.5280,0.000021500,H2O2 + TMB,0.0010,14.0000,0.800,0.0400000,3.5,25,,,https://doi.org/10.1016/j.colsurfa.2011.08.008,,,,,
22,MgFe2O4,peroxidase,7,220,220,220,naked,poly(ethylene oxide),0,20000.00,0.6700,0.000020900,TMB + H2O2,,0.4000,,0.0400000,4,45,16.1,20.82,https://doi.org/10.1016/j.bios.2014.07.048,,,,,
23,MgFe2O4,peroxidase,7,220,220,220,naked,poly(ethylene oxide),0,20000.00,0.1400,0.000125400,ABTS + H2O2,0.1200,0.4000,12.000,0.0400000,4,45,16.1,20.82,https://doi.org/10.1016/j.bios.2014.07.048,,,,,
24,MgFe2O4,peroxidase,7,220,220,220,naked,poly(ethylene oxide),0,20000.00,4.6100,0.000134600,H2O2 + TMB,1.0000,20.0000,0.400,0.0400000,4,45,16.1,20.82,https://doi.org/10.1016/j.bios.2014.07.048,,,,,
25,NiFe2O4,peroxidase,7,200,200,200,naked,poly(ethylene oxide),0,20000.00,0.5500,0.000045700,TMB + H2O2,,,,0.0400000,4,45,11.3,20.82,https://doi.org/10.1016/j.bios.2014.07.048,,,,,
26,NiFe2O4,peroxidase,7,200,200,200,naked,poly(ethylene oxide),0,20000.00,0.4600,0.000174800,ABTS + H2O2,0.1200,0.4000,12.000,0.0400000,4,45,11.3,20.82,https://doi.org/10.1016/j.bios.2014.07.048,,,,,
27,NiFe2O4,peroxidase,7,200,200,200,naked,poly(ethylene oxide),0,20000.00,2.6000,0.000141100,H2O2 + TMB,1.0000,20.0000,0.400,0.0400000,4,45,11.3,20.82,https://doi.org/10.1016/j.bios.2014.07.048,,,,,
28,ZnFe2O4,peroxidase,7,104,27,27,naked,0,0,0.00,490.7200,0.000063200,H2O2 + TMB,9.5000,634.0000,10.000,1.6666667,4,25,,,https://doi.org/10.1039/C5NJ02547H,,,,,
29,ZnFe2O4,peroxidase,7,104,27,27,naked,0,0,0.00,0.5090,0.000091800,TMB + H2O2,36.0000,678.0000,176.000,1.6666667,4,25,,,https://doi.org/10.1039/C5NJ02547H,,,,,
30,ZnFe2O4,peroxidase,7,200,200,200,naked,poly(ethylene oxide),ethylene glycol,20000.00,0.8500,0.000133100,TMB + H2O2,0.1000,1.6000,0.200,0.0400000,4,40,-10,20.82,https://doi.org/10.1021/ac300939z,,,,,
31,ZnFe2O4,peroxidase,7,200,200,200,naked,poly(ethylene oxide),ethylene glycol,20000.00,1.6600,0.000077400,H2O2 + TMB,0.0010,16.0000,0.320,0.0400000,4,40,-10,20.82,https://doi.org/10.1021/ac300939z,,,,,
32,NiCo2O4,peroxidase,2,100,100,100,naked,0,ethylene glycol,62.07,0.1420,0.000022230,TMB + H2O2,0.0100,1.5000,0.200,0.0200000,4,37,,115,https://doi.org/10.1016/j.aca.2016.11.035,,,,,
33,NiCo2O4,peroxidase,2,100,100,100,naked,0,ethylene glycol,62.07,9.4060,0.000258400,H2O2 + TMB,0.1000,20.0000,4.000,0.0200000,4,37,,115,https://doi.org/10.1016/j.aca.2016.11.035,,,,,
34,CdCo2O4,peroxidase,7,250,50,50,naked,poly(ethylene oxide),0,200.00,0.3170,0.000021900,TMB + H2O2,0.1000,8.0000,3.000,0.2000000,4,35,,72,https://doi.org/10.1007/s00604-020-04298-4,,,,,
