Km,Vmax,id,activity,X,IR,pot2,ph,temp,dstr,cryst,lgCmin,lgCmax,Cmin,Cmax,lgCconst,Cconst,lgCcat,Ccat,lgvolume,Mcoat,Sufrace,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,TPSA,XLogP,MaxEStateIndex.1,MaxEStateIndex.2,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,polym,Complexity
0.0065,1.3763,1,1,2.757,1.071,-0.05,4,37,3,7,0.176091259,0.176091259,0.001,1.5,2,100,-4.581698709,2.62E-05,1.83835157,282.47,0.2,282.468,32.10410811,0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0,0,6.420821623,-0.48123039,12.84164325,12.15204021,226,52,40.5,37.3,6.5,5.99273862,6,-0.39829863,0.037337328,-1.987595192,1.00000708,0
0.0554,0.2643,2,1,2.757,1.071,-0.05,4,37,3,7,0.176091259,0.176091259,0.001,1.5,2,100,-4.581698709,2.62E-05,3.419637259,282.47,0.2,282.468,32.10410811,0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0,0,6.420821623,-0.48123039,12.84164325,12.15204021,226,52,40.5,37.3,6.5,5.99273862,6,-0.39829863,0.037337328,-1.987595192,1.00000708,0
0.0355,8.363,3,1,2.757,1.071,-0.05,4,37,3,7,-0.301029996,1.397940009,0.5,25,2,100,-4.581698709,2.62E-05,1.83835157,282.47,0.2,282.468,32.10410811,0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0,0,6.420821623,-0.48123039,12.84164325,12.15204021,0,40.5,52,37.3,6.5,6,5.99273862,-0.254557431,-0.254557431,-1.987595192,1.00000708,0
0.2277,0.4382,4,1,2.757,1.071,-0.05,4,37,3,7,-0.301029996,1.397940009,0.5,25,2,100,-4.581698709,2.62E-05,3.419637259,282.47,0.2,282.468,32.10410811,0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0,0,6.420821623,-0.48123039,12.84164325,12.15204021,0,40.5,52,37.3,6.5,6,5.99273862,-0.254557431,-0.254557431,-1.987595192,1.00000708,0
0.0173,1.0272,5,1,2.757,1.071,-0.05,4,37,3,7,-0.698970004,2,0.2,100,1.176091259,15,-4.581698709,2.62E-05,4.167498253,282.47,0.2,282.468,32.10410811,0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0,0,6.420821623,-0.48123039,12.84164325,12.15204021,226,52,40.5,37.3,6.5,5.99273862,6,-0.39829863,0.037337328,-1.987595192,1.00000708,0
0.0243,0.6753,6,1,2.757,1.071,-0.05,4,37,3,7,-0.698970004,2,0.2,100,1.176091259,15,-4.581698709,2.62E-05,4.519515097,282.47,0.2,282.468,32.10410811,0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0,0,6.420821623,-0.48123039,12.84164325,12.15204021,226,52,40.5,37.3,6.5,5.99273862,6,-0.39829863,0.037337328,-1.987595192,1.00000708,0
0.0348,0.6468,7,1,2.757,1.071,-0.05,4,37,3,7,-0.698970004,2,0.2,100,1.176091259,15,-4.581698709,2.62E-05,4.965415304,282.47,0.2,282.468,32.10410811,0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0,0,6.420821623,-0.48123039,12.84164325,12.15204021,226,52,40.5,37.3,6.5,5.99273862,6,-0.39829863,0.037337328,-1.987595192,1.00000708,0
0.0393,1.2813,8,1,2.757,1.071,-0.05,4,37,3,7,-0.301029996,1.397940009,0.5,25,2,100,-4.581698709,2.62E-05,4.167498253,282.47,0.2,282.468,32.10410811,0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0,0,6.420821623,-0.48123039,12.84164325,12.15204021,0,40.5,52,37.3,6.5,6,5.99273862,-0.254557431,-0.254557431,-1.987595192,1.00000708,0
0.0661,0.9203,9,1,2.757,1.071,-0.05,4,37,3,7,-0.301029996,1.397940009,0.5,25,2,100,-4.581698709,2.62E-05,4.519515097,282.47,0.2,282.468,32.10410811,0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0,0,6.420821623,-0.48123039,12.84164325,12.15204021,0,40.5,52,37.3,6.5,6,5.99273862,-0.254557431,-0.254557431,-1.987595192,1.00000708,0
0.1107,1.0422,10,1,2.757,1.071,-0.05,4,37,3,7,-0.301029996,1.397940009,0.5,25,2,100,-4.581698709,2.62E-05,4.965415304,282.47,0.2,282.468,32.10410811,0,2.25882859,16.26491488,3.066157801,0.331506779,-0.664233856,0,0,6.420821623,-0.48123039,12.84164325,12.15204021,0,40.5,52,37.3,6.5,6,5.99273862,-0.254557431,-0.254557431,-1.987595192,1.00000708,0
